param_name,param_value,accuracy,precision,recall,f1,auc,dataset,algorithm
min_samples_split,2,0.7737,0.2868,0.3226,0.3036,0.5887,diabetes,decision_tree
min_samples_split,5,0.7943,0.3098,0.2808,0.2946,0.6114,diabetes,decision_tree
min_samples_split,10,0.8092,0.3462,0.2787,0.3088,0.6515,diabetes,decision_tree
min_samples_split,20,0.8254,0.3915,0.2559,0.3095,0.6965,diabetes,decision_tree
min_samples_split,50,0.8385,0.4457,0.2299,0.3034,0.7461,diabetes,decision_tree
min_samples_split,100,0.8471,0.5,0.2029,0.2886,0.7753,diabetes,decision_tree
min_samples_leaf,1,0.7737,0.2868,0.3226,0.3036,0.5887,diabetes,decision_tree
min_samples_leaf,2,0.8059,0.3301,0.2613,0.2917,0.6184,diabetes,decision_tree
min_samples_leaf,5,0.8208,0.3802,0.2727,0.3176,0.6773,diabetes,decision_tree
min_samples_leaf,10,0.8351,0.4249,0.2208,0.2906,0.7238,diabetes,decision_tree
min_samples_leaf,20,0.8421,0.4643,0.2119,0.2909,0.7637,diabetes,decision_tree
min_samples_leaf,50,0.8492,0.5216,0.1685,0.2548,0.7907,diabetes,decision_tree
criterion,gini,0.7737,0.2868,0.3226,0.3036,0.5887,diabetes,decision_tree
criterion,entropy,0.7784,0.2931,0.318,0.305,0.5897,diabetes,decision_tree
criterion,log_loss,0.7784,0.2931,0.318,0.305,0.5897,diabetes,decision_tree
C,0.01,0.847,0.0,0.0,0.0,0.7101,diabetes,svm
C,0.1,0.847,0.0,0.0,0.0,0.6793,diabetes,svm
C,1.0,0.847,0.0,0.0,0.0,0.7196,diabetes,svm
C,10.0,0.721,0.2615,0.3922,0.3098,0.6391,diabetes,svm
C,100.0,0.591,0.1778,0.383,0.2336,0.5184,diabetes,svm
kernel,linear,0.847,0.0,0.0,0.0,0.7196,diabetes,svm
kernel,rbf,0.852,0.6333,0.0876,0.1528,0.7345,diabetes,svm
C,0.01,0.847,0.0,0.0,0.0,0.7101,diabetes,svm
C,0.1,0.847,0.0,0.0,0.0,0.6793,diabetes,svm
C,1.0,0.847,0.0,0.0,0.0,0.7196,diabetes,svm
C,10.0,0.721,0.2615,0.3922,0.3098,0.6391,diabetes,svm
C,100.0,0.591,0.1778,0.383,0.2336,0.5184,diabetes,svm
kernel,linear,0.847,0.0,0.0,0.0,0.7196,diabetes,svm
kernel,rbf,0.852,0.6333,0.0876,0.1528,0.7345,diabetes,svm
C,0.001,0.5556,0.3086,0.5556,0.3968,0.0,heart,svm
C,0.01,0.5556,0.3086,0.5556,0.3968,0.0,heart,svm
C,0.1,0.8333,0.8331,0.8333,0.8329,0.0,heart,svm
C,1.0,0.8148,0.8181,0.8148,0.8153,0.0,heart,svm
C,10.0,0.7963,0.8025,0.7963,0.7969,0.0,heart,svm
C,100.0,0.7222,0.7356,0.7222,0.7227,0.0,heart,svm
C,1000.0,0.7222,0.7356,0.7222,0.7227,0.0,heart,svm
kernel,linear,0.8519,0.855,0.8519,0.8523,0.0,heart,svm
kernel,rbf,0.8148,0.8181,0.8148,0.8153,0.0,heart,svm
kernel,poly,0.8519,0.855,0.8519,0.8523,0.0,heart,svm
kernel,sigmoid,0.8333,0.8395,0.8333,0.8338,0.0,heart,svm
C,0.001,0.5556,0.3086,0.5556,0.3968,0.0,heart,svm
C,0.01,0.5556,0.3086,0.5556,0.3968,0.0,heart,svm
C,0.1,0.8333,0.8331,0.8333,0.8329,0.0,heart,svm
C,1.0,0.8148,0.8181,0.8148,0.8153,0.0,heart,svm
C,10.0,0.7963,0.8025,0.7963,0.7969,0.0,heart,svm
C,100.0,0.7222,0.7356,0.7222,0.7227,0.0,heart,svm
C,1000.0,0.7222,0.7356,0.7222,0.7227,0.0,heart,svm
kernel,linear,0.8519,0.855,0.8519,0.8523,0.0,heart,svm
kernel,rbf,0.8148,0.8181,0.8148,0.8153,0.0,heart,svm
kernel,poly,0.8519,0.855,0.8519,0.8523,0.0,heart,svm
kernel,sigmoid,0.8333,0.8395,0.8333,0.8338,0.0,heart,svm
penalty,L1,0.7823,0.7777,0.7823,0.7751,0.9337,obesity,logistic_regression
penalty,L2,0.7584,0.7473,0.7584,0.7473,0.9268,obesity,logistic_regression
penalty,L1,0.7823,0.7777,0.7823,0.7751,0.9337,obesity,logistic_regression
penalty,L2,0.7584,0.7473,0.7584,0.7473,0.9268,obesity,logistic_regression
k,1,0.8278,,,,,obesity,knn
k,3,0.8014,,,,,obesity,knn
k,5,0.8086,,,,,obesity,knn
k,7,0.7895,,,,,obesity,knn
k,9,0.799,,,,,obesity,knn
k,11,0.7775,,,,,obesity,knn
k,15,0.7608,,,,,obesity,knn
k,20,0.7488,,,,,obesity,knn
k,25,0.7392,,,,,obesity,knn
k,30,0.7297,,,,,obesity,knn
k,50,0.6866,,,,,obesity,knn
weights,uniform,0.8086,,,,,obesity,knn
weights,distance,0.8158,,,,,obesity,knn
metric,euclidean,0.8086,,,,,obesity,knn
metric,manhattan,0.8397,,,,,obesity,knn
k,1,0.8278,,,,,obesity,knn
k,3,0.8014,,,,,obesity,knn
k,5,0.8086,,,,,obesity,knn
k,7,0.7895,,,,,obesity,knn
k,9,0.799,,,,,obesity,knn
k,11,0.7775,,,,,obesity,knn
k,15,0.7608,,,,,obesity,knn
k,20,0.7488,,,,,obesity,knn
k,25,0.7392,,,,,obesity,knn
k,30,0.7297,,,,,obesity,knn
k,50,0.6866,,,,,obesity,knn
weights,uniform,0.8086,,,,,obesity,knn
weights,distance,0.8158,,,,,obesity,knn
metric,euclidean,0.8086,,,,,obesity,knn
metric,manhattan,0.8397,,,,,obesity,knn
max_depth,1,0.2895,0.0978,0.2895,0.1429,0.727,obesity,decision_tree
max_depth,2,0.555,0.386,0.555,0.4385,0.8481,obesity,decision_tree
max_depth,3,0.6531,0.6053,0.6531,0.6102,0.9213,obesity,decision_tree
max_depth,5,0.8325,0.8422,0.8325,0.8306,0.97,obesity,decision_tree
max_depth,7,0.9043,0.9128,0.9043,0.9061,0.9767,obesity,decision_tree
max_depth,10,0.9211,0.9224,0.9211,0.9213,0.9601,obesity,decision_tree
max_depth,15,0.9187,0.9199,0.9187,0.9188,0.9551,obesity,decision_tree
max_depth,20,0.9258,0.9266,0.9258,0.9259,0.9569,obesity,decision_tree
max_depth,,0.9258,0.9266,0.9258,0.9259,0.9569,obesity,decision_tree
min_samples_split,2,0.9258,0.9266,0.9258,0.9259,0.9569,obesity,decision_tree
min_samples_split,5,0.933,0.9329,0.933,0.9325,0.9729,obesity,decision_tree
min_samples_split,10,0.9282,0.9283,0.9282,0.9279,0.971,obesity,decision_tree
min_samples_split,20,0.9306,0.931,0.9306,0.9306,0.977,obesity,decision_tree
min_samples_split,50,0.9187,0.919,0.9187,0.9188,0.9776,obesity,decision_tree
min_samples_split,100,0.8278,0.8315,0.8278,0.8229,0.976,obesity,decision_tree
min_samples_leaf,1,0.9258,0.9266,0.9258,0.9259,0.9569,obesity,decision_tree
min_samples_leaf,2,0.9426,0.9438,0.9426,0.9419,0.9784,obesity,decision_tree
min_samples_leaf,5,0.9306,0.9334,0.9306,0.9306,0.9856,obesity,decision_tree
min_samples_leaf,10,0.9211,0.9211,0.9211,0.9209,0.9891,obesity,decision_tree
min_samples_leaf,20,0.9139,0.9138,0.9139,0.9131,0.9892,obesity,decision_tree
min_samples_leaf,50,0.823,0.8325,0.823,0.8165,0.9762,obesity,decision_tree
criterion,gini,0.9258,0.9266,0.9258,0.9259,0.9569,obesity,decision_tree
criterion,entropy,0.9713,0.9717,0.9713,0.9712,0.9832,obesity,decision_tree
criterion,log_loss,0.9713,0.9717,0.9713,0.9712,0.9832,obesity,decision_tree
max_depth,1,0.2895,0.0978,0.2895,0.1429,0.727,obesity,decision_tree
max_depth,2,0.555,0.386,0.555,0.4385,0.8481,obesity,decision_tree
max_depth,3,0.6531,0.6053,0.6531,0.6102,0.9213,obesity,decision_tree
max_depth,5,0.8325,0.8422,0.8325,0.8306,0.97,obesity,decision_tree
max_depth,7,0.9043,0.9128,0.9043,0.9061,0.9767,obesity,decision_tree
max_depth,10,0.9211,0.9224,0.9211,0.9213,0.9601,obesity,decision_tree
max_depth,15,0.9187,0.9199,0.9187,0.9188,0.9551,obesity,decision_tree
max_depth,20,0.9258,0.9266,0.9258,0.9259,0.9569,obesity,decision_tree
max_depth,,0.9258,0.9266,0.9258,0.9259,0.9569,obesity,decision_tree
min_samples_split,2,0.9258,0.9266,0.9258,0.9259,0.9569,obesity,decision_tree
min_samples_split,5,0.933,0.9329,0.933,0.9325,0.9729,obesity,decision_tree
min_samples_split,10,0.9282,0.9283,0.9282,0.9279,0.971,obesity,decision_tree
min_samples_split,20,0.9306,0.931,0.9306,0.9306,0.977,obesity,decision_tree
min_samples_split,50,0.9187,0.919,0.9187,0.9188,0.9776,obesity,decision_tree
min_samples_split,100,0.8278,0.8315,0.8278,0.8229,0.976,obesity,decision_tree
min_samples_leaf,1,0.9258,0.9266,0.9258,0.9259,0.9569,obesity,decision_tree
min_samples_leaf,2,0.9426,0.9438,0.9426,0.9419,0.9784,obesity,decision_tree
min_samples_leaf,5,0.9306,0.9334,0.9306,0.9306,0.9856,obesity,decision_tree
min_samples_leaf,10,0.9211,0.9211,0.9211,0.9209,0.9891,obesity,decision_tree
min_samples_leaf,20,0.9139,0.9138,0.9139,0.9131,0.9892,obesity,decision_tree
min_samples_leaf,50,0.823,0.8325,0.823,0.8165,0.9762,obesity,decision_tree
criterion,gini,0.9258,0.9266,0.9258,0.9259,0.9569,obesity,decision_tree
criterion,entropy,0.9713,0.9717,0.9713,0.9712,0.9832,obesity,decision_tree
criterion,log_loss,0.9713,0.9717,0.9713,0.9712,0.9832,obesity,decision_tree
C,0.001,0.1675,0.028,0.1675,0.048,0.9014,obesity,svm
C,0.01,0.3206,0.1886,0.3206,0.2096,0.906,obesity,svm
C,0.1,0.6986,0.7169,0.6986,0.6834,0.9544,obesity,svm
C,1.0,0.8828,0.8847,0.8828,0.8835,0.9864,obesity,svm
C,10.0,0.9187,0.9229,0.9187,0.9198,0.993,obesity,svm
C,100.0,0.9187,0.9225,0.9187,0.9195,0.9934,obesity,svm
C,1000.0,0.9187,0.9225,0.9187,0.9195,0.9934,obesity,svm
kernel,linear,0.9426,0.9443,0.9426,0.9422,0.9961,obesity,svm
kernel,rbf,0.8828,0.8847,0.8828,0.8835,0.9864,obesity,svm
kernel,poly,0.8254,0.8218,0.8254,0.8198,0.9666,obesity,svm
kernel,sigmoid,0.6172,0.6191,0.6172,0.6166,0.901,obesity,svm
C,0.001,0.1675,0.028,0.1675,0.048,0.9014,obesity,svm
C,0.01,0.3206,0.1886,0.3206,0.2096,0.906,obesity,svm
C,0.1,0.6986,0.7169,0.6986,0.6834,0.9544,obesity,svm
C,1.0,0.8828,0.8847,0.8828,0.8835,0.9864,obesity,svm
C,10.0,0.9187,0.9229,0.9187,0.9198,0.993,obesity,svm
C,100.0,0.9187,0.9225,0.9187,0.9195,0.9934,obesity,svm
C,1000.0,0.9187,0.9225,0.9187,0.9195,0.9934,obesity,svm
kernel,linear,0.9426,0.9443,0.9426,0.9422,0.9961,obesity,svm
kernel,rbf,0.8828,0.8847,0.8828,0.8835,0.9864,obesity,svm
kernel,poly,0.8254,0.8218,0.8254,0.8198,0.9666,obesity,svm
kernel,sigmoid,0.6172,0.6191,0.6172,0.6166,0.901,obesity,svm
penalty,L1,0.9583,0.9601,0.9583,0.958,0.9954,smartphone,logistic_regression
penalty,L2,0.9613,0.9638,0.9613,0.9614,0.9946,smartphone,logistic_regression
penalty,L1,0.9583,0.9601,0.9583,0.958,0.9954,smartphone,logistic_regression
penalty,L2,0.9613,0.9638,0.9613,0.9614,0.9946,smartphone,logistic_regression
k,1,0.8548,,,,,smartphone,knn
k,3,0.8741,,,,,smartphone,knn
k,5,0.8843,,,,,smartphone,knn
k,7,0.8897,,,,,smartphone,knn
k,9,0.8941,,,,,smartphone,knn
k,11,0.888,,,,,smartphone,knn
k,15,0.8907,,,,,smartphone,knn
k,20,0.8918,,,,,smartphone,knn
k,25,0.8863,,,,,smartphone,knn
k,30,0.8863,,,,,smartphone,knn
k,50,0.8765,,,,,smartphone,knn
weights,uniform,0.8843,,,,,smartphone,knn
weights,distance,0.8856,,,,,smartphone,knn
metric,euclidean,0.8843,,,,,smartphone,knn
metric,manhattan,0.9019,,,,,smartphone,knn
k,1,0.8548,,,,,smartphone,knn
k,3,0.8741,,,,,smartphone,knn
k,5,0.8843,,,,,smartphone,knn
k,7,0.8897,,,,,smartphone,knn
k,9,0.8941,,,,,smartphone,knn
k,11,0.888,,,,,smartphone,knn
k,15,0.8907,,,,,smartphone,knn
k,20,0.8918,,,,,smartphone,knn
k,25,0.8863,,,,,smartphone,knn
k,30,0.8863,,,,,smartphone,knn
k,50,0.8765,,,,,smartphone,knn
weights,uniform,0.8843,,,,,smartphone,knn
weights,distance,0.8856,,,,,smartphone,knn
metric,euclidean,0.8843,,,,,smartphone,knn
metric,manhattan,0.9019,,,,,smartphone,knn
max_depth,1,0.3627,0.2221,0.3627,0.2475,0.6803,smartphone,decision_tree
max_depth,2,0.531,0.3363,0.531,0.3944,0.8762,smartphone,decision_tree
max_depth,3,0.7224,0.671,0.7224,0.6769,0.9345,smartphone,decision_tree
max_depth,5,0.8385,0.8468,0.8385,0.8366,0.9674,smartphone,decision_tree
max_depth,7,0.8629,0.8638,0.8629,0.8622,0.9491,smartphone,decision_tree
max_depth,10,0.8605,0.8607,0.8605,0.8599,0.9298,smartphone,decision_tree
max_depth,15,0.8524,0.853,0.8524,0.8517,0.9064,smartphone,decision_tree
max_depth,20,0.8541,0.8547,0.8541,0.8536,0.9124,smartphone,decision_tree
max_depth,,0.8541,0.8547,0.8541,0.8536,0.9124,smartphone,decision_tree
min_samples_split,2,0.8541,0.8547,0.8541,0.8536,0.9124,smartphone,decision_tree
min_samples_split,5,0.8585,0.8592,0.8585,0.8574,0.917,smartphone,decision_tree
min_samples_split,10,0.8626,0.8629,0.8626,0.862,0.9251,smartphone,decision_tree
min_samples_split,20,0.8602,0.8611,0.8602,0.8598,0.9315,smartphone,decision_tree
min_samples_split,50,0.8561,0.8572,0.8561,0.8559,0.947,smartphone,decision_tree
min_samples_split,100,0.8371,0.8375,0.8371,0.8371,0.957,smartphone,decision_tree
min_samples_leaf,1,0.8541,0.8547,0.8541,0.8536,0.9124,smartphone,decision_tree
min_samples_leaf,2,0.8514,0.852,0.8514,0.8507,0.9181,smartphone,decision_tree
min_samples_leaf,5,0.8666,0.8667,0.8666,0.8664,0.9338,smartphone,decision_tree
min_samples_leaf,10,0.8711,0.8725,0.8711,0.8703,0.9465,smartphone,decision_tree
min_samples_leaf,20,0.8571,0.859,0.8571,0.8559,0.952,smartphone,decision_tree
min_samples_leaf,50,0.8571,0.8584,0.8571,0.8564,0.971,smartphone,decision_tree
criterion,gini,0.8541,0.8547,0.8541,0.8536,0.9124,smartphone,decision_tree
criterion,entropy,0.8524,0.8539,0.8524,0.8512,0.9115,smartphone,decision_tree
criterion,log_loss,0.8524,0.8539,0.8524,0.8512,0.9115,smartphone,decision_tree
max_depth,1,0.3627,0.2221,0.3627,0.2475,0.6803,smartphone,decision_tree
max_depth,2,0.531,0.3363,0.531,0.3944,0.8762,smartphone,decision_tree
max_depth,3,0.7224,0.671,0.7224,0.6769,0.9345,smartphone,decision_tree
max_depth,5,0.8385,0.8468,0.8385,0.8366,0.9674,smartphone,decision_tree
max_depth,7,0.8629,0.8638,0.8629,0.8622,0.9491,smartphone,decision_tree
max_depth,10,0.8605,0.8607,0.8605,0.8599,0.9298,smartphone,decision_tree
max_depth,15,0.8524,0.853,0.8524,0.8517,0.9064,smartphone,decision_tree
max_depth,20,0.8541,0.8547,0.8541,0.8536,0.9124,smartphone,decision_tree
max_depth,,0.8541,0.8547,0.8541,0.8536,0.9124,smartphone,decision_tree
min_samples_split,2,0.8541,0.8547,0.8541,0.8536,0.9124,smartphone,decision_tree
min_samples_split,5,0.8585,0.8592,0.8585,0.8574,0.917,smartphone,decision_tree
min_samples_split,10,0.8626,0.8629,0.8626,0.862,0.9251,smartphone,decision_tree
min_samples_split,20,0.8602,0.8611,0.8602,0.8598,0.9315,smartphone,decision_tree
min_samples_split,50,0.8561,0.8572,0.8561,0.8559,0.947,smartphone,decision_tree
min_samples_split,100,0.8371,0.8375,0.8371,0.8371,0.957,smartphone,decision_tree
min_samples_leaf,1,0.8541,0.8547,0.8541,0.8536,0.9124,smartphone,decision_tree
min_samples_leaf,2,0.8514,0.852,0.8514,0.8507,0.9181,smartphone,decision_tree
min_samples_leaf,5,0.8666,0.8667,0.8666,0.8664,0.9338,smartphone,decision_tree
min_samples_leaf,10,0.8711,0.8725,0.8711,0.8703,0.9465,smartphone,decision_tree
min_samples_leaf,20,0.8571,0.859,0.8571,0.8559,0.952,smartphone,decision_tree
min_samples_leaf,50,0.8571,0.8584,0.8571,0.8564,0.971,smartphone,decision_tree
criterion,gini,0.8541,0.8547,0.8541,0.8536,0.9124,smartphone,decision_tree
criterion,entropy,0.8524,0.8539,0.8524,0.8512,0.9115,smartphone,decision_tree
criterion,log_loss,0.8524,0.8539,0.8524,0.8512,0.9115,smartphone,decision_tree
C,0.001,0.1856,0.2016,0.1856,0.063,0.9712,smartphone,svm
C,0.01,0.7357,0.8179,0.7357,0.681,0.9831,smartphone,svm
C,0.1,0.9267,0.9278,0.9267,0.9261,0.9962,smartphone,svm
C,1.0,0.9525,0.9529,0.9525,0.9524,0.9976,smartphone,svm
C,10.0,0.9539,0.955,0.9539,0.9536,0.9976,smartphone,svm
C,100.0,0.9549,0.9562,0.9549,0.9546,0.9977,smartphone,svm
C,1000.0,0.9549,0.9562,0.9549,0.9546,0.9977,smartphone,svm
kernel,linear,0.9566,0.9579,0.9566,0.9564,0.9976,smartphone,svm
kernel,rbf,0.9525,0.9529,0.9525,0.9524,0.9976,smartphone,svm
kernel,poly,0.925,0.929,0.925,0.9242,0.9935,smartphone,svm
kernel,sigmoid,0.8724,0.8802,0.8724,0.8712,0.9731,smartphone,svm
C,0.001,0.1856,0.2016,0.1856,0.063,0.9712,smartphone,svm
C,0.01,0.7357,0.8179,0.7357,0.681,0.9831,smartphone,svm
C,0.1,0.9267,0.9278,0.9267,0.9261,0.9962,smartphone,svm
C,1.0,0.9525,0.9529,0.9525,0.9524,0.9976,smartphone,svm
C,10.0,0.9539,0.955,0.9539,0.9536,0.9976,smartphone,svm
C,100.0,0.9549,0.9562,0.9549,0.9546,0.9977,smartphone,svm
C,1000.0,0.9549,0.9562,0.9549,0.9546,0.9977,smartphone,svm
kernel,linear,0.9566,0.9579,0.9566,0.9564,0.9976,smartphone,svm
kernel,rbf,0.9525,0.9529,0.9525,0.9524,0.9976,smartphone,svm
kernel,poly,0.925,0.929,0.925,0.9242,0.9935,smartphone,svm
kernel,sigmoid,0.8724,0.8802,0.8724,0.8712,0.9731,smartphone,svm
C,0.001,0.876,0.0,0.0,0.0,0.9391,diabetes,logistic_regression
C,0.01,0.876,0.0,0.0,0.0,0.9702,diabetes,logistic_regression
C,0.1,0.876,0.0,0.0,0.0,0.9773,diabetes,logistic_regression
C,1.0,0.9583,0.9885,0.6719,0.8,0.9828,diabetes,logistic_regression
C,10.0,0.9767,0.9643,0.8438,0.9,0.9824,diabetes,logistic_regression
C,100.0,0.9777,0.9487,0.8672,0.9061,0.978,diabetes,logistic_regression
penalty,L1,0.9612,0.94,0.7344,0.8246,0.9681,diabetes,logistic_regression
penalty,L2,0.9583,0.9885,0.6719,0.8,0.9828,diabetes,logistic_regression
C,0.001,0.876,0.0,0.0,0.0,0.9391,diabetes,logistic_regression
C,0.01,0.876,0.0,0.0,0.0,0.9702,diabetes,logistic_regression
C,0.1,0.876,0.0,0.0,0.0,0.9773,diabetes,logistic_regression
C,1.0,0.9583,0.9885,0.6719,0.8,0.9828,diabetes,logistic_regression
C,10.0,0.9767,0.9643,0.8438,0.9,0.9824,diabetes,logistic_regression
C,100.0,0.9777,0.9487,0.8672,0.9061,0.978,diabetes,logistic_regression
penalty,L1,0.9612,0.94,0.7344,0.8246,0.9681,diabetes,logistic_regression
penalty,L2,0.9583,0.9885,0.6719,0.8,0.9828,diabetes,logistic_regression
max_depth,1,0.8886,0.8687,0.8886,0.8615,0.0,sms_spam,decision_tree
max_depth,2,0.907,0.8993,0.907,0.8892,0.0,sms_spam,decision_tree
max_depth,3,0.9225,0.9169,0.9225,0.9132,0.0,sms_spam,decision_tree
max_depth,5,0.9322,0.9284,0.9322,0.9256,0.0,sms_spam,decision_tree
max_depth,7,0.939,0.9357,0.939,0.9344,0.0,sms_spam,decision_tree
max_depth,10,0.9516,0.9505,0.9516,0.9481,0.0,sms_spam,decision_tree
max_depth,15,0.9506,0.9485,0.9506,0.9482,0.0,sms_spam,decision_tree
max_depth,20,0.9545,0.953,0.9545,0.9534,0.0,sms_spam,decision_tree
max_depth,,0.9574,0.9577,0.9574,0.9575,0.0,sms_spam,decision_tree
min_samples_split,2,0.9574,0.9577,0.9574,0.9575,0.0,sms_spam,decision_tree
min_samples_split,5,0.9496,0.95,0.9496,0.9498,0.0,sms_spam,decision_tree
min_samples_split,10,0.9545,0.9543,0.9545,0.9544,0.0,sms_spam,decision_tree
min_samples_split,20,0.9574,0.9563,0.9574,0.9566,0.0,sms_spam,decision_tree
min_samples_split,50,0.9525,0.9527,0.9525,0.9526,0.0,sms_spam,decision_tree
min_samples_split,100,0.9554,0.959,0.9554,0.9567,0.0,sms_spam,decision_tree
min_samples_leaf,1,0.9574,0.9577,0.9574,0.9575,0.0,sms_spam,decision_tree
min_samples_leaf,2,0.9574,0.9561,0.9574,0.9553,0.0,sms_spam,decision_tree
min_samples_leaf,5,0.9516,0.95,0.9516,0.9505,0.0,sms_spam,decision_tree
min_samples_leaf,10,0.9438,0.941,0.9438,0.9413,0.0,sms_spam,decision_tree
min_samples_leaf,20,0.9409,0.9379,0.9409,0.9383,0.0,sms_spam,decision_tree
min_samples_leaf,50,0.9234,0.9176,0.9234,0.9185,0.0,sms_spam,decision_tree
criterion,gini,0.9574,0.9577,0.9574,0.9575,0.0,sms_spam,decision_tree
